symbol,open_time,close_time,open,high,low,close,volume
BTCUSDT,2023-05-31 17:00:00,2023-05-31 20:59:59,27210.36000000,27350.00000000,26605.05000000,26779.94000000,11213.18795000
BTCUSDT,2023-05-31 21:00:00,2023-06-01 00:59:59,26779.93000000,26883.60000000,26746.00000000,26802.67000000,4613.77433000
BTCUSDT,2023-06-01 01:00:00,2023-06-01 04:59:59,26802.66000000,26951.07000000,26790.96000000,26892.96000000,4275.56782000
BTCUSDT,2023-06-01 05:00:00,2023-06-01 08:59:59,26892.95000000,26981.34000000,26782.53000000,26894.48000000,6481.67546000
BTCUSDT,2023-06-01 09:00:00,2023-06-01 12:59:59,26894.47000000,27175.00000000,26656.00000000,26862.68000000,8974.24713000
BTCUSDT,2023-06-01 13:00:00,2023-06-01 16:59:59,26862.68000000,26942.98000000,26713.34000000,26817.93000000,3659.35611000
BTCUSDT,2023-06-01 17:00:00,2023-06-01 20:59:59,26817.93000000,27017.00000000,26505.00000000,27000.00000000,7016.04160000
BTCUSDT,2023-06-01 21:00:00,2023-06-02 00:59:59,27000.01000000,27213.00000000,26949.40000000,27049.65000000,6856.64454000
BTCUSDT,2023-06-02 01:00:00,2023-06-02 04:59:59,27049.65000000,27183.07000000,27049.38000000,27130.75000000,3577.11000000
BTCUSDT,2023-06-02 05:00:00,2023-06-02 08:59:59,27130.75000000,27240.00000000,26860.71000000,27095.92000000,9100.69076000
BTCUSDT,2023-06-02 09:00:00,2023-06-02 12:59:59,27095.93000000,27287.64000000,27006.22000000,27239.02000000,6294.35686000
BTCUSDT,2023-06-02 13:00:00,2023-06-02 16:59:59,27239.03000000,27300.00000000,27143.37000000,27242.59000000,3536.05893000
BTCUSDT,2023-06-02 17:00:00,2023-06-02 20:59:59,27242.59000000,27242.60000000,27092.00000000,27143.20000000,2715.88602000
BTCUSDT,2023-06-02 21:00:00,2023-06-03 00:59:59,27143.20000000,27212.78000000,27105.73000000,27174.42000000,1822.46448000
BTCUSDT,2023-06-03 01:00:00,2023-06-03 04:59:59,27174.42000000,27181.00000000,27112.73000000,27129.79000000,2020.98723000
BTCUSDT,2023-06-03 05:00:00,2023-06-03 08:59:59,27129.78000000,27333.29000000,27126.85000000,27305.26000000,3088.32066000
BTCUSDT,2023-06-03 09:00:00,2023-06-03 12:59:59,27305.27000000,27318.63000000,27025.59000000,27096.36000000,4087.75798000
BTCUSDT,2023-06-03 13:00:00,2023-06-03 16:59:59,27096.37000000,27124.68000000,26914.93000000,27069.22000000,2859.92480000
BTCUSDT,2023-06-03 17:00:00,2023-06-03 20:59:59,27069.22000000,27100.43000000,26951.00000000,27061.38000000,2017.63875000
BTCUSDT,2023-06-03 21:00:00,2023-06-04 00:59:59,27061.37000000,27163.94000000,27027.00000000,27150.45000000,2458.23876000
BTCUSDT,2023-06-04 01:00:00,2023-06-04 04:59:59,27150.46000000,27249.86000000,27123.81000000,27198.55000000,2737.05084000
BTCUSDT,2023-06-04 05:00:00,2023-06-04 08:59:59,27198.54000000,27298.00000000,27160.11000000,27179.00000000,3447.67191000
BTCUSDT,2023-06-04 09:00:00,2023-06-04 12:59:59,27179.00000000,27222.00000000,27155.00000000,27213.11000000,1986.61888000
BTCUSDT,2023-06-04 13:00:00,2023-06-04 16:59:59,27213.11000000,27455.02000000,27043.65000000,27115.21000000,6611.19135000
BTCUSDT,2023-06-04 17:00:00,2023-06-04 20:59:59,27115.20000000,27129.33000000,26791.04000000,26843.58000000,6449.76559000
BTCUSDT,2023-06-04 21:00:00,2023-06-05 00:59:59,26843.57000000,26870.54000000,26740.38000000,26829.99000000,5422.13247000
BTCUSDT,2023-06-05 01:00:00,2023-06-05 04:59:59,26830.00000000,26840.77000000,26668.00000000,26773.39000000,4723.46593000
BTCUSDT,2023-06-05 05:00:00,2023-06-05 08:59:59,26773.39000000,26817.61000000,26000.00000000,26007.53000000,14719.70660000
BTCUSDT,2023-06-05 09:00:00,2023-06-05 12:59:59,26007.53000000,26074.51000000,25388.00000000,25629.99000000,27456.05814000
BTCUSDT,2023-06-05 13:00:00,2023-06-05 16:59:59,25630.00000000,25858.42000000,25509.98000000,25728.20000000,7034.47432000
BTCUSDT,2023-06-05 17:00:00,2023-06-05 20:59:59,25728.20000000,25801.09000000,25601.00000000,25730.83000000,5737.28976000
BTCUSDT,2023-06-05 21:00:00,2023-06-06 00:59:59,25730.83000000,25821.41000000,25706.18000000,25722.33000000,4562.45045000
BTCUSDT,2023-06-06 01:00:00,2023-06-06 04:59:59,25722.34000000,25797.00000000,25640.33000000,25686.64000000,4705.41680000
BTCUSDT,2023-06-06 05:00:00,2023-06-06 08:59:59,25686.64000000,26143.69000000,25351.02000000,26066.11000000,18580.62970000
BTCUSDT,2023-06-06 09:00:00,2023-06-06 12:59:59,26066.12000000,27216.89000000,26066.11000000,27080.13000000,21954.76955000
BTCUSDT,2023-06-06 13:00:00,2023-06-06 16:59:59,27080.12000000,27355.33000000,26857.92000000,27230.08000000,12852.04812000
BTCUSDT,2023-06-06 17:00:00,2023-06-06 20:59:59,27230.07000000,27391.77000000,26720.47000000,26909.01000000,11374.06381000
BTCUSDT,2023-06-06 21:00:00,2023-06-07 00:59:59,26909.01000000,26980.04000000,26753.01000000,26795.87000000,5395.14109000
BTCUSDT,2023-06-07 01:00:00,2023-06-07 04:59:59,26795.87000000,26968.00000000,26352.00000000,26896.14000000,12299.41041000
BTCUSDT,2023-06-07 05:00:00,2023-06-07 08:59:59,26896.14000000,26932.10000000,26236.00000000,26349.52000000,16129.11750000
BTCUSDT,2023-06-07 09:00:00,2023-06-07 12:59:59,26349.52000000,26553.78000000,26240.47000000,26482.42000000,7669.83392000
BTCUSDT,2023-06-07 13:00:00,2023-06-07 16:59:59,26482.43000000,26493.30000000,26125.01000000,26339.34000000,6751.87691000
BTCUSDT,2023-06-07 17:00:00,2023-06-07 20:59:59,26339.34000000,26470.00000000,26210.00000000,26344.17000000,5218.61987000
BTCUSDT,2023-06-07 21:00:00,2023-06-08 00:59:59,26344.16000000,26523.93000000,26290.19000000,26444.69000000,3725.37329000
