symbol,open_time,close_time,open,high,low,close,volume
BTCUSDT,2022-02-28 16:00:00,2022-02-28 19:59:59,43160.00000000,43750.00000000,42855.20000000,43147.71000000,9905.06568000
BTCUSDT,2022-02-28 20:00:00,2022-02-28 23:59:59,43147.71000000,43562.35000000,43040.15000000,43492.96000000,5673.12384000
BTCUSDT,2022-03-01 00:00:00,2022-03-01 03:59:59,43492.96000000,43887.00000000,42809.98000000,43609.96000000,9959.40661000
BTCUSDT,2022-03-01 04:00:00,2022-03-01 07:59:59,43609.96000000,44949.00000000,43350.00000000,43643.69000000,21058.89224000
BTCUSDT,2022-03-01 08:00:00,2022-03-01 11:59:59,43643.69000000,44078.65000000,43111.46000000,43719.49000000,8785.54500000
BTCUSDT,2022-03-01 12:00:00,2022-03-01 15:59:59,43719.49000000,44506.65000000,43684.16000000,44421.20000000,6361.06536000
BTCUSDT,2022-03-01 16:00:00,2022-03-01 19:59:59,44421.20000000,44750.00000000,43819.97000000,44324.65000000,9115.71853000
BTCUSDT,2022-03-01 20:00:00,2022-03-01 23:59:59,44324.64000000,44534.79000000,43653.63000000,43973.09000000,7184.41025000
BTCUSDT,2022-03-02 00:00:00,2022-03-02 03:59:59,43973.09000000,44341.25000000,43738.27000000,44103.28000000,7152.87993000
BTCUSDT,2022-03-02 04:00:00,2022-03-02 07:59:59,44103.29000000,45400.00000000,43334.09000000,44126.52000000,21359.60222000
BTCUSDT,2022-03-02 08:00:00,2022-03-02 11:59:59,44126.51000000,44498.02000000,43433.00000000,43704.42000000,8477.12281000
BTCUSDT,2022-03-02 12:00:00,2022-03-02 15:59:59,43704.41000000,44380.00000000,43681.30000000,43892.98000000,4492.91707000
BTCUSDT,2022-03-02 16:00:00,2022-03-02 19:59:59,43892.99000000,44063.15000000,43193.52000000,43305.77000000,7348.58337000
BTCUSDT,2022-03-02 20:00:00,2022-03-02 23:59:59,43305.76000000,43696.83000000,42915.06000000,43477.05000000,5660.75266000
BTCUSDT,2022-03-03 00:00:00,2022-03-03 03:59:59,43477.04000000,43621.22000000,43064.46000000,43382.23000000,5817.41058000
BTCUSDT,2022-03-03 04:00:00,2022-03-03 07:59:59,43382.23000000,44101.12000000,42348.56000000,42547.34000000,15475.09940000
BTCUSDT,2022-03-03 08:00:00,2022-03-03 11:59:59,42547.34000000,42750.00000000,42055.64000000,42226.74000000,10016.31451000
BTCUSDT,2022-03-03 12:00:00,2022-03-03 15:59:59,42226.74000000,42703.65000000,41832.28000000,42454.00000000,6622.44969000
BTCUSDT,2022-03-03 16:00:00,2022-03-03 19:59:59,42454.00000000,42527.30000000,41069.91000000,41449.94000000,10458.06502000
BTCUSDT,2022-03-03 20:00:00,2022-03-03 23:59:59,41449.93000000,41499.48000000,41100.00000000,41436.98000000,5420.09009000
BTCUSDT,2022-03-04 00:00:00,2022-03-04 03:59:59,41436.98000000,41904.88000000,40863.01000000,41662.07000000,9526.57356000
BTCUSDT,2022-03-04 04:00:00,2022-03-04 07:59:59,41662.06000000,41833.00000000,40550.04000000,40694.32000000,13689.02138000
BTCUSDT,2022-03-04 08:00:00,2022-03-04 11:59:59,40694.32000000,40958.66000000,39665.72000000,39782.13000000,10513.61893000
BTCUSDT,2022-03-04 12:00:00,2022-03-04 15:59:59,39782.13000000,39879.48000000,38550.00000000,39148.66000000,12357.31600000
BTCUSDT,2022-03-04 16:00:00,2022-03-04 19:59:59,39148.65000000,39197.94000000,38564.04000000,39050.62000000,7175.73335000
BTCUSDT,2022-03-04 20:00:00,2022-03-04 23:59:59,39050.61000000,39140.51000000,38407.59000000,39016.73000000,5018.80536000
BTCUSDT,2022-03-05 00:00:00,2022-03-05 03:59:59,39016.74000000,39294.47000000,38784.69000000,39129.59000000,5153.17248000
BTCUSDT,2022-03-05 04:00:00,2022-03-05 07:59:59,39129.58000000,39371.15000000,38889.75000000,39160.01000000,4387.08916000
BTCUSDT,2022-03-05 08:00:00,2022-03-05 11:59:59,39160.00000000,39613.24000000,39122.33000000,39433.71000000,5368.18462000
BTCUSDT,2022-03-05 12:00:00,2022-03-05 15:59:59,39433.71000000,39583.66000000,39281.23000000,39397.96000000,3260.14844000
BTCUSDT,2022-03-05 16:00:00,2022-03-05 19:59:59,39397.97000000,39693.87000000,39275.00000000,39300.54000000,3150.76731000
BTCUSDT,2022-03-05 20:00:00,2022-03-05 23:59:59,39300.53000000,39656.89000000,38814.73000000,39387.57000000,5535.09217000
BTCUSDT,2022-03-06 00:00:00,2022-03-06 03:59:59,39387.56000000,39387.57000000,38088.57000000,38352.48000000,9928.79688000
BTCUSDT,2022-03-06 04:00:00,2022-03-06 07:59:59,38352.48000000,39056.16000000,38296.12000000,38862.61000000,7071.59640000
BTCUSDT,2022-03-06 08:00:00,2022-03-06 11:59:59,38862.62000000,39368.40000000,38518.56000000,38670.66000000,5865.66309000
BTCUSDT,2022-03-06 12:00:00,2022-03-06 15:59:59,38670.65000000,39273.79000000,38127.00000000,38420.81000000,8125.34573000
BTCUSDT,2022-03-06 16:00:00,2022-03-06 19:59:59,38420.80000000,38555.85000000,37578.03000000,37869.45000000,10970.36124000
BTCUSDT,2022-03-06 20:00:00,2022-03-06 23:59:59,37869.46000000,38247.48000000,37760.08000000,37895.24000000,5537.27588000
BTCUSDT,2022-03-07 00:00:00,2022-03-07 03:59:59,37895.24000000,38399.54000000,37649.46000000,38337.05000000,7208.81739000
BTCUSDT,2022-03-07 04:00:00,2022-03-07 07:59:59,38337.05000000,39285.00000000,38337.05000000,39071.48000000,12941.62206000
BTCUSDT,2022-03-07 08:00:00,2022-03-07 11:59:59,39071.49000000,39547.57000000,37192.78000000,37308.94000000,16135.35156000
BTCUSDT,2022-03-07 12:00:00,2022-03-07 15:59:59,37308.94000000,38517.82000000,37155.00000000,37988.00000000,11200.68746000
BTCUSDT,2022-03-07 16:00:00,2022-03-07 19:59:59,37988.01000000,38972.08000000,37867.65000000,38695.87000000,8258.29547000
BTCUSDT,2022-03-07 20:00:00,2022-03-07 23:59:59,38696.56000000,38831.70000000,38001.00000000,38547.79000000,7602.81674000
BTCUSDT,2022-03-08 00:00:00,2022-03-08 03:59:59,38547.79000000,39186.58000000,38460.28000000,38983.05000000,8572.44337000
BTCUSDT,2022-03-08 04:00:00,2022-03-08 07:59:59,38983.05000000,39226.99000000,38307.07000000,38658.34000000,13115.84878000
BTCUSDT,2022-03-08 08:00:00,2022-03-08 11:59:59,38658.34000000,39362.08000000,38139.84000000,38764.88000000,13936.82276000
BTCUSDT,2022-03-08 12:00:00,2022-03-08 15:59:59,38764.87000000,38897.68000000,38388.73000000,38730.63000000,4096.83926000
BTCUSDT,2022-03-08 16:00:00,2022-03-08 19:59:59,38730.63000000,41448.84000000,38656.45000000,41217.73000000,15046.79735000
BTCUSDT,2022-03-08 20:00:00,2022-03-08 23:59:59,41217.73000000,41884.00000000,41217.72000000,41791.10000000,12529.14324000
BTCUSDT,2022-03-09 00:00:00,2022-03-09 03:59:59,41791.10000000,42438.81000000,41626.28000000,42151.66000000,12223.35193000
BTCUSDT,2022-03-09 04:00:00,2022-03-09 07:59:59,42151.65000000,42594.06000000,41626.86000000,42520.99000000,13744.13345000
BTCUSDT,2022-03-09 08:00:00,2022-03-09 11:59:59,42520.99000000,42558.96000000,41773.19000000,42204.65000000,8531.43225000
BTCUSDT,2022-03-09 12:00:00,2022-03-09 15:59:59,42204.65000000,42320.00000000,41683.06000000,41941.71000000,5317.72977000
BTCUSDT,2022-03-09 16:00:00,2022-03-09 19:59:59,41941.70000000,42039.63000000,40545.08000000,40768.51000000,13241.63659000
BTCUSDT,2022-03-09 20:00:00,2022-03-09 23:59:59,40768.50000000,40834.93000000,38848.48000000,39238.90000000,17288.84532000
BTCUSDT,2022-03-10 00:00:00,2022-03-10 03:59:59,39238.90000000,39317.32000000,38782.14000000,39076.38000000,8672.14700000
BTCUSDT,2022-03-10 04:00:00,2022-03-10 07:59:59,39076.39000000,40292.44000000,38539.73000000,39179.54000000,20530.94137000
BTCUSDT,2022-03-10 08:00:00,2022-03-10 11:59:59,39179.55000000,39567.05000000,38904.63000000,39430.56000000,7255.40933000
BTCUSDT,2022-03-10 12:00:00,2022-03-10 15:59:59,39431.80000000,39680.00000000,39050.00000000,39422.00000000,4973.95193000
BTCUSDT,2022-03-10 16:00:00,2022-03-10 19:59:59,39422.01000000,39439.65000000,38223.60000000,38714.97000000,9879.26690000
BTCUSDT,2022-03-10 20:00:00,2022-03-10 23:59:59,38714.97000000,39348.87000000,38337.03000000,39132.09000000,8188.20221000
BTCUSDT,2022-03-11 00:00:00,2022-03-11 03:59:59,39132.10000000,40219.34000000,38806.86000000,39893.68000000,11697.23979000
BTCUSDT,2022-03-11 04:00:00,2022-03-11 07:59:59,39894.08000000,40236.26000000,38908.00000000,39080.26000000,15204.56918000
BTCUSDT,2022-03-11 08:00:00,2022-03-11 11:59:59,39080.26000000,39094.84000000,38500.00000000,38792.59000000,7869.25806000
BTCUSDT,2022-03-11 12:00:00,2022-03-11 15:59:59,38792.58000000,39177.48000000,38308.83000000,38729.57000000,6180.22806000
BTCUSDT,2022-03-11 16:00:00,2022-03-11 19:59:59,38729.57000000,39327.99000000,38660.52000000,39088.94000000,4198.07907000
BTCUSDT,2022-03-11 20:00:00,2022-03-11 23:59:59,39088.93000000,39261.46000000,38931.80000000,39104.99000000,2950.84658000
BTCUSDT,2022-03-12 00:00:00,2022-03-12 03:59:59,39104.99000000,39284.46000000,38957.47000000,39079.16000000,3429.12969000
BTCUSDT,2022-03-12 04:00:00,2022-03-12 07:59:59,39079.17000000,39262.95000000,38678.22000000,39042.04000000,5595.52404000
BTCUSDT,2022-03-12 08:00:00,2022-03-12 11:59:59,39042.05000000,39486.71000000,38930.71000000,39030.08000000,5295.93547000
BTCUSDT,2022-03-12 12:00:00,2022-03-12 15:59:59,39030.08000000,39210.00000000,38730.67000000,38807.36000000,2564.84947000
BTCUSDT,2022-03-12 16:00:00,2022-03-12 19:59:59,38807.35000000,39276.28000000,38703.73000000,39194.08000000,3650.74171000
BTCUSDT,2022-03-12 20:00:00,2022-03-12 23:59:59,39194.07000000,39310.00000000,39069.00000000,39089.77000000,1960.16548000
BTCUSDT,2022-03-13 00:00:00,2022-03-13 04:59:59,39089.76000000,39129.22000000,38601.81000000,38741.12000000,5962.88967000
BTCUSDT,2022-03-13 05:00:00,2022-03-13 08:59:59,38741.13000000,39074.93000000,38370.00000000,38936.00000000,7476.32059000
BTCUSDT,2022-03-13 09:00:00,2022-03-13 12:59:59,38936.00000000,39067.00000000,38851.00000000,38869.02000000,4054.20523000
BTCUSDT,2022-03-13 13:00:00,2022-03-13 16:59:59,38869.02000000,38869.03000000,37578.51000000,37777.34000000,9687.50091000
BTCUSDT,2022-03-13 17:00:00,2022-03-13 20:59:59,37777.35000000,38357.75000000,37555.00000000,38144.05000000,7000.92466000
BTCUSDT,2022-03-13 21:00:00,2022-03-14 00:59:59,38144.06000000,39184.66000000,38126.29000000,39078.92000000,9181.27032000
BTCUSDT,2022-03-14 01:00:00,2022-03-14 04:59:59,39078.91000000,39299.98000000,38842.89000000,38897.64000000,6291.24657000
BTCUSDT,2022-03-14 05:00:00,2022-03-14 08:59:59,38897.64000000,39174.79000000,38612.01000000,38964.25000000,9114.58440000
BTCUSDT,2022-03-14 09:00:00,2022-03-14 12:59:59,38964.26000000,39055.00000000,38415.40000000,38813.00000000,6657.74890000
BTCUSDT,2022-03-14 13:00:00,2022-03-14 16:59:59,38814.18000000,39947.12000000,38606.41000000,39671.37000000,8699.67890000
BTCUSDT,2022-03-14 17:00:00,2022-03-14 20:59:59,39671.37000000,39804.68000000,38636.70000000,38768.41000000,7491.23953000
BTCUSDT,2022-03-14 21:00:00,2022-03-15 00:59:59,38768.41000000,38990.61000000,38098.33000000,38439.50000000,5984.59376000
BTCUSDT,2022-03-15 01:00:00,2022-03-15 04:59:59,38439.50000000,38786.74000000,38254.35000000,38645.01000000,5916.53334000
BTCUSDT,2022-03-15 05:00:00,2022-03-15 08:59:59,38645.01000000,39270.24000000,38465.70000000,39017.11000000,10179.52294000
BTCUSDT,2022-03-15 09:00:00,2022-03-15 12:59:59,39017.11000000,39805.43000000,38926.15000000,39735.71000000,9433.64246000
BTCUSDT,2022-03-15 13:00:00,2022-03-15 16:59:59,39735.71000000,39887.61000000,39232.61000000,39280.33000000,7010.01723000
BTCUSDT,2022-03-15 17:00:00,2022-03-15 20:59:59,39280.33000000,41718.00000000,38828.48000000,39160.00000000,24749.55977000
BTCUSDT,2022-03-15 21:00:00,2022-03-16 00:59:59,39160.00000000,39676.65000000,38911.00000000,39581.00000000,7298.36776000
