pair,open_time,close_time,open,high,low,close,volume
BTCUSDT,2023-10-04 01:00:00,2023-10-04 04:59:59,27453.77000000,27643.09000000,27434.10000000,27572.43000000,4588.85168000
BTCUSDT,2023-10-04 05:00:00,2023-10-04 08:59:59,27572.43000000,27633.42000000,27329.85000000,27404.22000000,5939.67141000
BTCUSDT,2023-10-04 09:00:00,2023-10-04 12:59:59,27404.21000000,27839.72000000,27400.94000000,27618.10000000,6502.51104000
BTCUSDT,2023-10-04 13:00:00,2023-10-04 16:59:59,27618.10000000,27831.51000000,27564.71000000,27778.57000000,3690.74243000
BTCUSDT,2023-10-04 17:00:00,2023-10-04 20:59:59,27778.57000000,27896.07000000,27650.01000000,27651.73000000,3136.44638000
BTCUSDT,2023-10-04 21:00:00,2023-10-05 00:59:59,27651.73000000,27702.20000000,27550.77000000,27607.98000000,2665.09726000
BTCUSDT,2023-10-05 01:00:00,2023-10-05 04:59:59,27607.98000000,27774.55000000,27593.23000000,27725.68000000,2893.52044000
BTCUSDT,2023-10-05 05:00:00,2023-10-05 08:59:59,27725.68000000,28120.39000000,27403.59000000,27555.00000000,13145.99675000
BTCUSDT,2023-10-05 09:00:00,2023-10-05 12:59:59,27555.00000000,27617.57000000,27352.00000000,27471.28000000,6407.84463000
BTCUSDT,2023-10-05 13:00:00,2023-10-05 16:59:59,27471.28000000,27509.45000000,27388.00000000,27410.39000000,2432.59073000
BTCUSDT,2023-10-05 17:00:00,2023-10-05 20:59:59,27410.39000000,27590.00000000,27389.99000000,27559.20000000,3193.26664000
BTCUSDT,2023-10-05 21:00:00,2023-10-06 00:59:59,27559.20000000,27651.00000000,27464.48000000,27638.52000000,3024.13516000
BTCUSDT,2023-10-06 01:00:00,2023-10-06 04:59:59,27638.51000000,27801.00000000,27588.53000000,27760.00000000,5204.72994000
BTCUSDT,2023-10-06 05:00:00,2023-10-06 08:59:59,27760.00000000,28044.86000000,27175.94000000,27941.12000000,14574.01071000
BTCUSDT,2023-10-06 09:00:00,2023-10-06 12:59:59,27941.12000000,28038.00000000,27789.14000000,27952.36000000,7070.26306000
BTCUSDT,2023-10-06 13:00:00,2023-10-06 16:59:59,27952.35000000,28295.00000000,27877.60000000,27931.09000000,4916.83726000
BTCUSDT,2023-10-06 17:00:00,2023-10-06 20:59:59,27931.10000000,27955.90000000,27842.08000000,27900.41000000,2783.26342000
BTCUSDT,2023-10-06 21:00:00,2023-10-07 00:59:59,27900.41000000,27944.84000000,27875.00000000,27890.80000000,1744.73112000
BTCUSDT,2023-10-07 01:00:00,2023-10-07 04:59:59,27890.79000000,28029.67000000,27880.01000000,27942.12000000,2905.54923000
BTCUSDT,2023-10-07 05:00:00,2023-10-07 08:59:59,27942.12000000,27986.27000000,27895.28000000,27939.80000000,1884.78495000
BTCUSDT,2023-10-07 09:00:00,2023-10-07 12:59:59,27939.80000000,27964.20000000,27850.00000000,27865.48000000,2398.58265000
BTCUSDT,2023-10-07 13:00:00,2023-10-07 16:59:59,27865.49000000,27959.75000000,27856.66000000,27956.67000000,1631.92688000
BTCUSDT,2023-10-07 17:00:00,2023-10-07 20:59:59,27956.67000000,28095.14000000,27943.90000000,28064.87000000,3093.52502000
BTCUSDT,2023-10-07 21:00:00,2023-10-08 00:59:59,28064.87000000,28076.04000000,27878.06000000,27905.61000000,4667.47017000
