symbol,open_time,close_time,open,high,low,close,volume
BTCUSDT,2024-01-09 04:00:00,2024-01-09 07:59:59,46616.00000000,47051.21000000,45450.00000000,46868.09000000,15811.82358000
BTCUSDT,2024-01-09 08:00:00,2024-01-09 11:59:59,46868.08000000,46975.00000000,46500.00000000,46876.01000000,7310.48299000
BTCUSDT,2024-01-09 12:00:00,2024-01-09 15:59:59,46876.00000000,47972.00000000,44748.67000000,46110.00000000,25976.98557000
BTCUSDT,2024-01-09 16:00:00,2024-01-09 19:59:59,46110.00000000,46249.14000000,45622.00000000,46117.10000000,6964.52629000
BTCUSDT,2024-01-09 20:00:00,2024-01-09 23:59:59,46117.10000000,46186.00000000,45734.56000000,45757.98000000,4441.30134000
BTCUSDT,2024-01-10 00:00:00,2024-01-10 03:59:59,45757.98000000,45861.10000000,45000.00000000,45515.89000000,8371.11286000
BTCUSDT,2024-01-10 04:00:00,2024-01-10 07:59:59,45515.88000000,45662.01000000,44300.36000000,45546.40000000,17519.34998000
BTCUSDT,2024-01-10 08:00:00,2024-01-10 11:59:59,45546.39000000,46666.00000000,45173.97000000,46489.18000000,17808.51212000
BTCUSDT,2024-01-10 12:00:00,2024-01-10 15:59:59,46489.19000000,47695.93000000,44800.00000000,46653.99000000,34806.60944000
BTCUSDT,2024-01-10 16:00:00,2024-01-10 19:59:59,46654.00000000,46750.00000000,46200.00000000,46502.16000000,7964.91500000
BTCUSDT,2024-01-10 20:00:00,2024-01-10 23:59:59,46502.17000000,46507.08000000,45618.10000000,46101.40000000,7551.87335000
BTCUSDT,2024-01-11 00:00:00,2024-01-11 03:59:59,46101.40000000,47150.00000000,46052.00000000,47060.00000000,8538.48554000
BTCUSDT,2024-01-11 04:00:00,2024-01-11 07:59:59,47059.99000000,48969.48000000,46463.19000000,46783.78000000,36318.80534000
BTCUSDT,2024-01-11 08:00:00,2024-01-11 11:59:59,46783.77000000,47022.07000000,45606.06000000,46692.30000000,19172.26590000
BTCUSDT,2024-01-11 12:00:00,2024-01-11 15:59:59,46692.29000000,46975.00000000,46084.69000000,46339.16000000,7923.98447000
BTCUSDT,2024-01-11 16:00:00,2024-01-11 19:59:59,46339.16000000,46515.53000000,45898.00000000,45994.00000000,5377.44001000
BTCUSDT,2024-01-11 20:00:00,2024-01-11 23:59:59,45994.01000000,46366.00000000,45742.49000000,46008.19000000,5766.26871000
BTCUSDT,2024-01-12 00:00:00,2024-01-12 03:59:59,46008.19000000,46267.00000000,45537.37000000,45954.35000000,7038.70566000
BTCUSDT,2024-01-12 04:00:00,2024-01-12 07:59:59,45954.35000000,46109.00000000,44333.44000000,44462.01000000,19196.21655000
BTCUSDT,2024-01-12 08:00:00,2024-01-12 11:59:59,44462.00000000,44675.88000000,43212.00000000,43472.55000000,26388.04032000
BTCUSDT,2024-01-12 12:00:00,2024-01-12 15:59:59,43472.56000000,43981.10000000,41500.00000000,42782.73000000,22561.26582000
BTCUSDT,2024-01-12 16:00:00,2024-01-12 19:59:59,42782.74000000,42997.29000000,42436.12000000,42609.94000000,9945.53429000
BTCUSDT,2024-01-12 20:00:00,2024-01-12 23:59:59,42609.94000000,43254.03000000,42555.84000000,43102.97000000,6237.82222000
BTCUSDT,2024-01-13 00:00:00,2024-01-13 03:59:59,43102.97000000,43254.96000000,42509.11000000,42624.00000000,6962.30044000
BTCUSDT,2024-01-13 04:00:00,2024-01-13 07:59:59,42624.01000000,43257.00000000,42505.00000000,43154.48000000,6063.35625000
BTCUSDT,2024-01-13 08:00:00,2024-01-13 11:59:59,43154.48000000,43185.00000000,42724.39000000,42786.25000000,4181.84325000
BTCUSDT,2024-01-13 12:00:00,2024-01-13 15:59:59,42786.25000000,43040.01000000,42699.52000000,42847.99000000,2727.61819000
BTCUSDT,2024-01-13 16:00:00,2024-01-13 19:59:59,42847.99000000,42890.23000000,42643.98000000,42681.82000000,2769.17313000
BTCUSDT,2024-01-13 20:00:00,2024-01-13 23:59:59,42681.82000000,43060.00000000,42562.56000000,43011.44000000,3036.75324000
BTCUSDT,2024-01-14 00:00:00,2024-01-14 03:59:59,43011.44000000,43079.00000000,42759.34000000,42829.99000000,2885.27669000
BTCUSDT,2024-01-14 04:00:00,2024-01-14 07:59:59,42829.99000000,43005.25000000,42710.00000000,42904.38000000,3635.86614000
BTCUSDT,2024-01-14 08:00:00,2024-01-14 11:59:59,42904.39000000,43010.84000000,42632.59000000,42660.00000000,4024.36820000
BTCUSDT,2024-01-14 12:00:00,2024-01-14 15:59:59,42660.00000000,42745.98000000,41720.00000000,41732.35000000,11876.97154000
BTCUSDT,2024-01-14 16:00:00,2024-01-14 19:59:59,41732.35000000,42640.00000000,41718.05000000,42565.99000000,5828.29771000
BTCUSDT,2024-01-14 20:00:00,2024-01-14 23:59:59,42565.99000000,42824.68000000,42499.01000000,42714.78000000,4383.51739000
BTCUSDT,2024-01-15 00:00:00,2024-01-15 03:59:59,42714.78000000,42775.00000000,42540.00000000,42697.99000000,3812.52325000
BTCUSDT,2024-01-15 04:00:00,2024-01-15 07:59:59,42698.00000000,42958.03000000,42163.32000000,42278.99000000,8595.73488000
BTCUSDT,2024-01-15 08:00:00,2024-01-15 11:59:59,42278.99000000,43400.43000000,42249.00000000,42992.67000000,12331.30651000
BTCUSDT,2024-01-15 12:00:00,2024-01-15 15:59:59,42992.67000000,43114.45000000,42342.18000000,42511.10000000,5318.51329000
BTCUSDT,2024-01-15 16:00:00,2024-01-15 19:59:59,42511.10000000,42939.50000000,42466.88000000,42924.56000000,4025.27939000
BTCUSDT,2024-01-15 20:00:00,2024-01-15 23:59:59,42924.57000000,42946.05000000,42606.92000000,42791.13000000,3648.24949000
BTCUSDT,2024-01-16 00:00:00,2024-01-16 03:59:59,42791.14000000,43153.66000000,42720.06000000,42900.54000000,4849.24572000
BTCUSDT,2024-01-16 04:00:00,2024-01-16 07:59:59,42900.55000000,43314.73000000,42050.00000000,43252.67000000,17967.98589000
BTCUSDT,2024-01-16 08:00:00,2024-01-16 11:59:59,43252.45000000,43434.00000000,42834.29000000,43166.11000000,7723.95687000
BTCUSDT,2024-01-16 12:00:00,2024-01-16 15:59:59,43166.10000000,43578.01000000,43060.69000000,43137.95000000,6831.02853000
BTCUSDT,2024-01-16 16:00:00,2024-01-16 19:59:59,43137.94000000,43198.00000000,42844.98000000,42849.00000000,3711.95254000
BTCUSDT,2024-01-16 20:00:00,2024-01-16 23:59:59,42849.00000000,42925.49000000,42619.60000000,42655.94000000,3612.23610000
BTCUSDT,2024-01-17 00:00:00,2024-01-17 03:59:59,42655.95000000,42850.55000000,42564.00000000,42680.16000000,4412.74724000
BTCUSDT,2024-01-17 04:00:00,2024-01-17 07:59:59,42680.16000000,42926.02000000,42365.58000000,42482.79000000,9542.90182000
BTCUSDT,2024-01-17 08:00:00,2024-01-17 11:59:59,42482.80000000,42745.99000000,42200.69000000,42611.11000000,6233.49263000
BTCUSDT,2024-01-17 12:00:00,2024-01-17 15:59:59,42611.10000000,42876.48000000,42450.00000000,42776.10000000,5752.88355000
BTCUSDT,2024-01-17 16:00:00,2024-01-17 19:59:59,42776.09000000,42784.40000000,42502.19000000,42592.05000000,2777.25237000
BTCUSDT,2024-01-17 20:00:00,2024-01-17 23:59:59,42592.04000000,42922.00000000,42589.00000000,42915.33000000,3393.11338000
BTCUSDT,2024-01-18 00:00:00,2024-01-18 03:59:59,42915.32000000,42930.00000000,42387.68000000,42544.59000000,4867.13625000
BTCUSDT,2024-01-18 04:00:00,2024-01-18 07:59:59,42544.60000000,42810.00000000,42353.80000000,42619.32000000,5286.53164000
BTCUSDT,2024-01-18 08:00:00,2024-01-18 11:59:59,42619.31000000,42619.32000000,40831.99000000,41022.32000000,17408.65530000
BTCUSDT,2024-01-18 12:00:00,2024-01-18 15:59:59,41022.33000000,41366.99000000,40683.28000000,41327.50000000,10174.82747000
BTCUSDT,2024-01-18 16:00:00,2024-01-18 19:59:59,41327.51000000,41370.99000000,40752.26000000,41055.87000000,5747.52107000
BTCUSDT,2024-01-18 20:00:00,2024-01-18 23:59:59,41055.88000000,41576.00000000,41038.81000000,41284.25000000,5252.30425000
BTCUSDT,2024-01-19 00:00:00,2024-01-19 03:59:59,41284.26000000,41509.69000000,41143.33000000,41475.37000000,4432.77110000
BTCUSDT,2024-01-19 04:00:00,2024-01-19 07:59:59,41475.37000000,41488.20000000,40718.00000000,40894.71000000,9260.88788000
BTCUSDT,2024-01-19 08:00:00,2024-01-19 11:59:59,40894.71000000,41979.00000000,40280.00000000,41814.27000000,16100.60089000
BTCUSDT,2024-01-19 12:00:00,2024-01-19 15:59:59,41814.27000000,42196.86000000,41517.60000000,41659.03000000,7548.66040000
BTCUSDT,2024-01-19 16:00:00,2024-01-19 19:59:59,41659.03000000,41700.00000000,41456.30000000,41634.65000000,2986.21230000
BTCUSDT,2024-01-19 20:00:00,2024-01-19 23:59:59,41634.64000000,41774.00000000,41564.81000000,41650.95000000,2111.60902000
BTCUSDT,2024-01-20 00:00:00,2024-01-20 03:59:59,41650.95000000,41668.66000000,41459.02000000,41580.83000000,3106.35262000
BTCUSDT,2024-01-20 04:00:00,2024-01-20 07:59:59,41580.82000000,41700.00000000,41478.00000000,41570.11000000,2908.64220000
BTCUSDT,2024-01-20 08:00:00,2024-01-20 11:59:59,41570.10000000,41684.94000000,41526.36000000,41632.96000000,2143.21383000
BTCUSDT,2024-01-20 12:00:00,2024-01-20 15:59:59,41632.97000000,41872.56000000,41610.54000000,41696.04000000,2667.96496000
BTCUSDT,2024-01-20 16:00:00,2024-01-20 19:59:59,41696.05000000,41730.00000000,41629.87000000,41680.82000000,1600.89363000
BTCUSDT,2024-01-20 20:00:00,2024-01-20 23:59:59,41680.83000000,41691.11000000,41564.29000000,41648.51000000,1198.63686000
