pair,open_time,close_time,open,high,low,close,volume
ETHUSDT,2024-01-04 08:00:00,2024-01-04 11:59:59,2276.88000000,2294.08000000,2259.10000000,2274.27000000,91424.26330000
ETHUSDT,2024-01-04 12:00:00,2024-01-04 15:59:59,2274.27000000,2294.69000000,2261.57000000,2267.11000000,54649.44450000
ETHUSDT,2024-01-04 16:00:00,2024-01-04 19:59:59,2267.11000000,2274.76000000,2212.00000000,2242.28000000,76882.34480000
ETHUSDT,2024-01-04 20:00:00,2024-01-04 23:59:59,2242.29000000,2265.72000000,2234.30000000,2252.75000000,58488.10760000
ETHUSDT,2024-01-05 00:00:00,2024-01-05 03:59:59,2252.75000000,2269.00000000,2233.23000000,2241.97000000,69688.88310000
ETHUSDT,2024-01-05 04:00:00,2024-01-05 07:59:59,2241.97000000,2253.64000000,2218.00000000,2224.99000000,87112.29090000
ETHUSDT,2024-01-05 08:00:00,2024-01-05 11:59:59,2225.00000000,2240.67000000,2206.17000000,2234.26000000,56104.99980000
ETHUSDT,2024-01-05 12:00:00,2024-01-05 15:59:59,2234.26000000,2277.21000000,2234.18000000,2268.78000000,57291.37440000
ETHUSDT,2024-01-05 16:00:00,2024-01-05 19:59:59,2268.78000000,2270.00000000,2250.40000000,2252.99000000,29406.18860000
ETHUSDT,2024-01-05 20:00:00,2024-01-05 23:59:59,2253.00000000,2255.66000000,2216.40000000,2233.12000000,50658.62620000
ETHUSDT,2024-01-06 00:00:00,2024-01-06 03:59:59,2233.13000000,2240.00000000,2228.58000000,2238.67000000,27814.57570000
ETHUSDT,2024-01-06 04:00:00,2024-01-06 07:59:59,2238.67000000,2248.32000000,2228.37000000,2246.40000000,41078.77070000
ETHUSDT,2024-01-06 08:00:00,2024-01-06 11:59:59,2246.41000000,2254.77000000,2237.50000000,2244.63000000,22234.57260000
ETHUSDT,2024-01-06 12:00:00,2024-01-06 15:59:59,2244.64000000,2247.50000000,2230.62000000,2240.78000000,22875.13180000
ETHUSDT,2024-01-06 16:00:00,2024-01-06 19:59:59,2240.77000000,2254.03000000,2235.58000000,2242.20000000,27632.63560000
ETHUSDT,2024-01-06 20:00:00,2024-01-06 23:59:59,2242.19000000,2251.44000000,2241.00000000,2249.15000000,21360.13390000
ETHUSDT,2024-01-07 00:00:00,2024-01-07 03:59:59,2249.15000000,2253.00000000,2230.26000000,2237.04000000,29108.37330000
ETHUSDT,2024-01-07 04:00:00,2024-01-07 07:59:59,2237.05000000,2258.01000000,2222.46000000,2230.83000000,49500.43800000
ETHUSDT,2024-01-07 08:00:00,2024-01-07 11:59:59,2230.83000000,2249.98000000,2221.00000000,2248.60000000,30625.98520000
ETHUSDT,2024-01-07 12:00:00,2024-01-07 15:59:59,2248.60000000,2251.27000000,2203.46000000,2221.42000000,48911.12670000
ETHUSDT,2024-01-07 16:00:00,2024-01-07 19:59:59,2221.42000000,2224.41000000,2166.38000000,2190.87000000,90216.80280000
ETHUSDT,2024-01-07 20:00:00,2024-01-07 23:59:59,2190.88000000,2230.00000000,2188.00000000,2224.08000000,62506.43960000
ETHUSDT,2024-01-08 00:00:00,2024-01-08 03:59:59,2224.07000000,2242.00000000,2204.47000000,2240.61000000,56230.02870000
ETHUSDT,2024-01-08 04:00:00,2024-01-08 07:59:59,2240.61000000,2283.02000000,2239.81000000,2269.59000000,113126.56180000
ETHUSDT,2024-01-08 08:00:00,2024-01-08 11:59:59,2269.59000000,2358.20000000,2259.39000000,2354.56000000,159339.92840000
ETHUSDT,2024-01-08 12:00:00,2024-01-08 15:59:59,2354.57000000,2357.79000000,2325.36000000,2330.44000000,57987.79340000
ETHUSDT,2024-01-08 16:00:00,2024-01-08 19:59:59,2330.43000000,2336.70000000,2289.98000000,2309.13000000,71375.71430000
ETHUSDT,2024-01-08 20:00:00,2024-01-08 23:59:59,2309.12000000,2319.01000000,2297.26000000,2306.05000000,34995.77660000
ETHUSDT,2024-01-09 00:00:00,2024-01-09 03:59:59,2306.05000000,2311.30000000,2285.40000000,2298.76000000,45679.41850000
ETHUSDT,2024-01-09 04:00:00,2024-01-09 07:59:59,2298.77000000,2304.21000000,2226.78000000,2257.18000000,111002.14490000
ETHUSDT,2024-01-09 08:00:00,2024-01-09 11:59:59,2257.18000000,2278.03000000,2243.41000000,2270.91000000,54245.39630000
ETHUSDT,2024-01-09 12:00:00,2024-01-09 15:59:59,2270.91000000,2371.72000000,2247.72000000,2344.29000000,234156.54250000
ETHUSDT,2024-01-09 16:00:00,2024-01-09 19:59:59,2344.30000000,2400.53000000,2339.59000000,2361.51000000,131181.11980000
ETHUSDT,2024-01-09 20:00:00,2024-01-09 23:59:59,2361.50000000,2393.22000000,2358.00000000,2368.75000000,74187.47670000
ETHUSDT,2024-01-10 00:00:00,2024-01-10 03:59:59,2368.75000000,2431.00000000,2362.64000000,2402.21000000,135704.71350000
ETHUSDT,2024-01-10 04:00:00,2024-01-10 07:59:59,2402.21000000,2456.00000000,2342.00000000,2449.30000000,208501.68990000
ETHUSDT,2024-01-10 08:00:00,2024-01-10 11:59:59,2449.30000000,2481.59000000,2400.71000000,2477.90000000,151178.73960000
ETHUSDT,2024-01-10 12:00:00,2024-01-10 15:59:59,2477.90000000,2643.10000000,2411.00000000,2584.38000000,337634.92650000
ETHUSDT,2024-01-10 16:00:00,2024-01-10 19:59:59,2584.37000000,2614.76000000,2566.01000000,2613.01000000,123879.43310000
ETHUSDT,2024-01-10 20:00:00,2024-01-10 23:59:59,2613.00000000,2630.00000000,2573.01000000,2589.15000000,125604.30820000
ETHUSDT,2024-01-11 00:00:00,2024-01-11 03:59:59,2589.15000000,2665.74000000,2586.66000000,2657.90000000,107315.61550000
ETHUSDT,2024-01-11 04:00:00,2024-01-11 07:59:59,2657.89000000,2689.39000000,2593.60000000,2613.19000000,266549.66390000
ETHUSDT,2024-01-11 08:00:00,2024-01-11 11:59:59,2613.19000000,2625.13000000,2570.00000000,2622.07000000,142383.17430000
ETHUSDT,2024-01-11 12:00:00,2024-01-11 15:59:59,2622.07000000,2632.28000000,2587.48000000,2618.01000000,72980.06270000
ETHUSDT,2024-01-11 16:00:00,2024-01-11 19:59:59,2618.01000000,2624.29000000,2580.00000000,2589.81000000,59022.56450000
ETHUSDT,2024-01-11 20:00:00,2024-01-11 23:59:59,2589.81000000,2626.43000000,2585.62000000,2595.73000000,77766.09060000
ETHUSDT,2024-01-12 00:00:00,2024-01-12 03:59:59,2595.72000000,2667.99000000,2584.11000000,2647.59000000,117234.19290000
ETHUSDT,2024-01-12 04:00:00,2024-01-12 07:59:59,2647.58000000,2717.32000000,2634.00000000,2647.02000000,240727.78620000
ETHUSDT,2024-01-12 08:00:00,2024-01-12 11:59:59,2647.02000000,2688.83000000,2560.71000000,2584.43000000,205091.02700000
ETHUSDT,2024-01-12 12:00:00,2024-01-12 15:59:59,2584.44000000,2598.20000000,2458.00000000,2522.54000000,187616.10150000
ETHUSDT,2024-01-12 16:00:00,2024-01-12 19:59:59,2522.55000000,2557.15000000,2497.50000000,2548.53000000,110026.18040000
ETHUSDT,2024-01-12 20:00:00,2024-01-12 23:59:59,2548.53000000,2561.68000000,2539.20000000,2550.99000000,48963.48710000
ETHUSDT,2024-01-13 00:00:00,2024-01-13 03:59:59,2550.99000000,2560.55000000,2521.18000000,2542.50000000,69772.98720000
ETHUSDT,2024-01-13 04:00:00,2024-01-13 07:59:59,2542.50000000,2566.19000000,2531.15000000,2563.83000000,68807.00840000
ETHUSDT,2024-01-13 08:00:00,2024-01-13 11:59:59,2563.83000000,2580.00000000,2550.00000000,2571.91000000,85176.92310000
ETHUSDT,2024-01-13 12:00:00,2024-01-13 15:59:59,2571.91000000,2590.00000000,2562.80000000,2578.19000000,39314.64580000
ETHUSDT,2024-01-13 16:00:00,2024-01-13 19:59:59,2578.18000000,2578.69000000,2549.72000000,2550.99000000,47916.02210000
ETHUSDT,2024-01-13 20:00:00,2024-01-13 23:59:59,2551.00000000,2555.88000000,2541.80000000,2550.83000000,50188.60720000
ETHUSDT,2024-01-14 00:00:00,2024-01-14 03:59:59,2550.84000000,2553.80000000,2534.58000000,2538.00000000,34210.45430000
ETHUSDT,2024-01-14 04:00:00,2024-01-14 07:59:59,2538.01000000,2546.58000000,2524.39000000,2537.68000000,40228.57530000
ETHUSDT,2024-01-14 08:00:00,2024-01-14 11:59:59,2537.68000000,2543.97000000,2500.00000000,2501.00000000,51466.18010000
ETHUSDT,2024-01-14 12:00:00,2024-01-14 15:59:59,2500.99000000,2531.93000000,2470.00000000,2472.87000000,82197.90730000
ETHUSDT,2024-01-14 16:00:00,2024-01-14 19:59:59,2472.87000000,2513.91000000,2470.92000000,2503.32000000,94132.64560000
ETHUSDT,2024-01-14 20:00:00,2024-01-14 23:59:59,2503.32000000,2521.00000000,2502.97000000,2513.29000000,31632.26180000
ETHUSDT,2024-01-15 00:00:00,2024-01-15 03:59:59,2513.29000000,2542.86000000,2506.88000000,2539.35000000,37060.70930000
ETHUSDT,2024-01-15 04:00:00,2024-01-15 07:59:59,2539.36000000,2549.02000000,2505.80000000,2514.49000000,71124.08400000
ETHUSDT,2024-01-15 08:00:00,2024-01-15 11:59:59,2514.49000000,2553.82000000,2514.05000000,2534.70000000,49430.70110000
ETHUSDT,2024-01-15 12:00:00,2024-01-15 15:59:59,2534.69000000,2539.38000000,2500.33000000,2511.78000000,31867.48010000
ETHUSDT,2024-01-15 16:00:00,2024-01-15 19:59:59,2511.79000000,2538.23000000,2505.00000000,2537.60000000,38349.93180000
ETHUSDT,2024-01-15 20:00:00,2024-01-15 23:59:59,2537.60000000,2542.14000000,2522.30000000,2528.26000000,35810.35880000
ETHUSDT,2024-01-16 00:00:00,2024-01-16 03:59:59,2528.25000000,2549.38000000,2521.98000000,2530.77000000,53355.15760000
ETHUSDT,2024-01-16 04:00:00,2024-01-16 07:59:59,2530.78000000,2570.79000000,2500.05000000,2559.44000000,109503.66330000
ETHUSDT,2024-01-16 08:00:00,2024-01-16 11:59:59,2559.44000000,2579.62000000,2548.63000000,2574.06000000,70677.22960000
ETHUSDT,2024-01-16 12:00:00,2024-01-16 15:59:59,2574.06000000,2614.43000000,2571.79000000,2587.40000000,73381.28360000
